Rank 	 Pose Confidence 

1 	 -1.1251819133758545
2 	 -1.6877824068069458
3 	 -2.384826183319092
4 	 -2.753241539001465
5 	 -2.8786468505859375
6 	 -3.0397393703460693
7 	 -3.0522384643554688
8 	 -3.1643781661987305
9 	 -3.297692060470581
10 	 -3.3034355640411377
11 	 -3.4622581005096436
12 	 -3.514972686767578
13 	 -3.550874710083008
14 	 -3.6132619380950928
15 	 -3.6788601875305176
16 	 -3.76517915725708
17 	 -3.82808256149292
18 	 -4.7444000244140625
19 	 -4.797712326049805
20 	 -5.537420272827148
